-8	147.9946168	1
6	-57.99461679	1
-28	45	1
1	-90	0.1
-60	-162.6459754	0.4
-6	-66.80140949	1
-24	164.7448813	1
1	-45	1
0	0	0
7	-20.55604522	0.7
0	0	0
-75	15.2551187	0.7
-4	-99.46232221	0.6
-63	-47.6025622	0.6
8	-160.5599652	0.5
5	38.29016319	0.8
-1	-53.13010235	1
4	100.6196553	0.7
-63	-139.3987054	0.3
3	-143.1301024	1
0	0	0
18	9.865806943	1
-16	108.4349488	0.5
-14	-69.44395478	0.5
-8	48.36646066	0.7
-2	-132.273689	1
-8	-39.55966797	1
-4	-118.4429286	1
0	0	0
-20	-42.51044708	0.5
-76	129.559668	0.8
-16	129.8055711	1
-17	104.620874	1
1	-158.7494945	1
-21	-158.1985905	0.8
-64	94.08561678	0.4
7	-149.5344551	0.5
-29	148.3924978	1
35	9.462322208	1
-29	-90	1
-13	30.06858282	1
-28	-23.19859051	0.6
0	0	0
-25	39.47245985	0.4
-16	-133.8308607	0.6
0	0	0
-17	43.36342296	1
-60	-130.1009075	0.5
0	0	0
25	-164.7448813	0.9
-18	-119.2488263	1
-5	-58.39249775	1
7	156.5014343	0.6
-46	-128.3674854	0.5
0	0	0
-1	132.273689	1
0	0	0
-2	-93.36646066	1
-20	41.18592517	0.4
-6	51.34019175	0.8
-79	48.9909131	0.9
-5	56.30993247	1
2	155.7722547	1
8	175.4260787	1
-22	-81.25383774	1
0	0	0
-59	99.86580694	0.5
-21	-76.50426672	1
-4	-31.32869287	0.6
-38	-48.81407483	1
5	4.763641691	1
-22	108.4349488	1
56	-63.43494882	1
0	0	0
-74	130.9143832	0.6
-23	154.7988764	1
-16	-25.64100582	0.5
0	0	0
18	-18.43494882	1
-22	4.398705355	1
-18	-45	1
-58	-126.8698976	1
-75	149.4207731	0.7
-10	-61.55707138	1
2	-142.5946434	0.7
7	-98.13010235	1
-79	126.8698976	0.9
18	-151.6992442	1
-39	-69.44395478	1
-42	47.48955292	0.5
-18	159.4439548	1
8	173.1572266	1
0	0	0
28	-173.2901632	1
0	60.2551187	1
9	154.4400348	1
-11	-101.3099325	1
-17	-51.70983681	1
-55	135	1
21	-161.5650512	1
-17	-37.30394828	1
-17	126.2538377	1
24	174.8055711	1
-62	-92.6025622	0.5
6	135	1
73	-153.4349488	0.4
0	0	0
7	-7.765166018	1
18	172.568592	1
4	24.44395478	1
0	0	0
-63	14.03624347	1
7	-76.75948008	1
18	-20.55604522	1
12	-170.9097231	1
2	18.43494882	1
-57	59.42077313	0.5
-41	-142.1250163	0.4
-6	97.12501635	1
3	-59.03624347	0.5
-9	-42.51044708	1
-36	-153.4349488	1
-66	-73.30075577	0.5
11	36.25383774	0.9
-19	-126.8698976	1
-23	-142.5946434	1
-9	-98.74616226	1
-72	150.9453959	0.4
-10	59.03624347	1
-63	145.6196553	0.5
-19	71.56505118	0.5
-4	147.5288077	1
17	-15.9453959	1
