"pitch","yaw","f"
"27","-3.179830119864234","1.0"
"-38","41.185925165709655","1.0"
"-68","168.23171106797935","0.6000000000000001"
"-8","-48.012787504183336","1.0"
"-17","-130.10090754621226","1.0"
"15","161.56505117707798","1.0"
"-20","-149.03624346792648","1.0"
"-8","140.4403320310055","1.0"
"-74","78.11134196037203","0.6000000000000001"
"-19","160.20112364547506","1.0"
"-7","-128.36748538486154","0.7000000000000001"
"0","0","0"
"4","-57.9946167919165","0.6000000000000001"
"-29","-0.0","1.0"
"-68","55.71312302279104","0.6000000000000001"
"-10","52.125016348901795","1.0"
"-22","-28.61045966596522","1.0"
"-71","-127.23483398157467","0.7000000000000001"
"-13","-50.527540151656176","1.0"
"-12","-10.304846468766033","1.0"
"18","4.573921259900861","1.0"
"0","0","0"
"-22","92.86240522611175","1.0"
"-12","136.46880071438582","1.0"
"-19","-53.13010235415598","1.0"
"1","-119.74488129694224","1.0"
"-49","-90.0","1.0"
"0","0","0"
"-72","162.89727103094762","0.5000000000000001"
"-10","165.37912601136833","0.7000000000000001"
"30","161.56505117707798","0.9"
"-71","-94.96974072811031","0.6000000000000001"
"-72","145.78429786756263","0.7000000000000001"
"-15","-153.43494882292202","0.7000000000000001"
"-51","-51.95295746817391","0.5000000000000001"
"-6","116.56505117707799","1.0"
"-19","76.50426671920418","1.0"
"-10","151.55707137563664","0.5000000000000001"
"-69","26.56505117707799","1.0"
"-77","-29.744881296942225","0.40000000000000013"
"6","-56.309932474020215","0.5000000000000001"
"16","25.346175941946694","1.0"
"-52","165.96375653207352","0.30000000000000016"
"-1","-14.036243467926477","1.0"
"5","154.4400348281762","1.0"
"-22","-141.34019174590992","1.0"
"-56","10.784297867562598","0.5000000000000001"
"-63","-52.59464336859145","0.5000000000000001"
"-74","-68.19859051364818","0.30000000000000016"
"-44","-100.7842978675626","0.40000000000000013"
"-35","171.86989764584402","0.40000000000000013"
"3","-39.093858886229505","1.0"
"-74","-166.75948008481282","0.6000000000000001"
"11","-160.8209919741893","1.0"
"-2","115.46334506187162","0.8"
"-18","-25.559965171823812","0.7000000000000001"
"-5","116.56505117707799","1.0"
"-23","120.06858282186245","1.0"
"25","-168.6900675259798","1.0"
"-19","-123.11134196037203","0.5000000000000001"
"1","-97.12501634890181","1.0"
"-13","102.9946167919165","1.0"
"-3","36.86989764584402","0.7000000000000001"
"0","0","0"
"1","-46.636577041616725","0.7000000000000001"
"7","-128.6598082540901","1.0"
"-22","-108.43494882292202","1.0"
"0","0","0"
"-10","132.3974377975002","1.0"
"-5","-109.44003482817618","1.0"
"-75","164.05460409907712","0.40000000000000013"
"-74","-146.30993247402023","0.5000000000000001"
"2","37.874983651098205","0.6000000000000001"
"-19","158.19859051364818","1.0"
"-14","45.0","1.0"
"-12","130.8150838748816","1.0"
"-15","72.25532837494306","1.0"
"19","-176.82016988013578","1.0"
"35","18.43494882292201","1.0"
"-17","43.7811247648687","1.0"
"0","0","0"
"-21","-45.0","0.5000000000000001"
"-8","-52.43140797117251","0.5000000000000001"
"-17","-132.51044707800085","1.0"
"-4","132.6140559696112","1.0"
"-25","-20.224859431168078","0.7000000000000001"
"4","19.44003482817619","1.0"
"-75","-161.56505117707798","0.6000000000000001"
"-3","-39.80557109226519","0.9"
"-6","33.690067525979785","1.0"
"-20","-133.5311992856142","1.0"
"-9","43.7811247648687","1.0"
"2","-41.6335393365702","1.0"
"0","0","0"
"-5","-120.96375653207352","1.0"
"5","135.0","0.40000000000000013"
"5","-156.80140948635182","0.5000000000000001"
"-17","150.52411099675425","1.0"
"-22","124.50852298766841","1.0"
"-15","-42.51044707800085","1.0"
"-13","-118.61045966596521","1.0"
"-4","119.47588900324575","1.0"
"0","0","0"
"-4","122.0053832080835","1.0"
"27","-38.65980825409009","1.0"
"-25","-104.74356283647074","0.40000000000000013"
"-42","-104.74356283647074","0.40000000000000013"
"-11","-15.642246457208728","0.7000000000000001"
"-13","107.10272896905236","1.0"
"-11","-79.21570213243741","1.0"
"-13","144.24611274556327","0.8"
"-79","-126.02737338510362","0.6000000000000001"
"-3","-49.96974072811031","0.8"
"0","0","0"
"-5","-46.273030020056716","1.0"
"-52","48.012787504183336","0.5000000000000001"
"-6","140.71059313749967","1.0"
"0","0","0"
"-58","-57.528807709151515","0.5000000000000001"
"-2","-147.99461679191648","1.0"
"15","-21.037511025421818","1.0"
"-10","-62.447188423282206","1.0"
"-41","8.972626614896393","0.5000000000000001"
"-50","-28.61045966596522","0.30000000000000016"
"0","0","0"
"22","-0.0","1.0"
"-20","174.80557109226518","1.0"
"0","0","0"
"-12","46.16913932790743","0.7000000000000001"
"-1","-68.62937773065681","0.6000000000000001"
"-20","-102.80426606528675","0.5000000000000001"
"-74","170.5376777919744","0.6000000000000001"
"-22","67.75097634278764","1.0"
"0","0","0"
"0","0","0"
"-34","-131.6335393365702","1.0"
"-66","-90.0","1.0"
"-18","128.99099404250546","1.0"
"10","-35.53767779197438","0.6000000000000001"
"-69","35.53767779197438","0.6000000000000001"
"0","0","0"
"0","0","0"
"-16","-45.0","1.0"
"-3","63.43494882292201","1.0"
"3","-68.62937773065681","1.0"
"-12","-145.30484646876604","1.0"
"-17","-36.46923439005187","0.8"
"-15","-45.0","1.0"
"-15","147.2647737278924","1.0"
"-18","128.36748538486154","1.0"
"-30","123.69006752597979","1.0"
"3","-59.03624346792648","1.0"
"-70","-75.96375653207353","0.20000000000000018"
"0","0","0"
"8","34.2157021324374","0.8"
"-27","66.80140948635182","1.0"
"4","-47.12109639666145","1.0"
"-8","-124.99202019855868","1.0"
"-15","-116.56505117707799","0.6000000000000001"
"-20","-90.0","1.0"
"-70","-117.64597536373869","0.6000000000000001"
"-11","-66.80140948635182","0.6000000000000001"
"-8","130.2363583092738","1.0"
"-12","-11.309932474020213","0.30000000000000016"
"0","0","0"
"-52","49.08561677997488","0.40000000000000013"
"0","0","0"
"-4","79.69515353123397","0.6000000000000001"
"5","-36.86989764584402","0.9"
"-66","138.81407483429035","0.40000000000000013"
"-68","-86.98721249581665","0.5000000000000001"
"-37","-180.0","1.0"
"-58","-67.38013505195957","0.5000000000000001"
"-61","63.43494882292201","0.5000000000000001"
"-1","-172.23483398157467","1.0"
"-20","-56.309932474020215","1.0"
"0","0","0"
"0","0","0"
"1","141.34019174590992","0.9"
"-3","-51.63251461513847","1.0"
"-13","-22.619864948040426","0.30000000000000016"
"-17","155.3764352138364","1.0"
"-19","-29.475889003245744","1.0"
"-36","-150.25511870305778","1.0"
"-21","-65.37643521383639","1.0"
"17","-23.62937773065682","1.0"
"40","-36.86989764584402","1.0"
"-1","-65.22485943116808","1.0"
"-43","141.34019174590992","1.0"
"-5","-57.264773727892404","1.0"
"-28","127.5685920288275","1.0"
"-1","154.9831065219","1.0"
"-9","162.47443162627712","0.40000000000000013"
"-20","23.19859051364819","1.0"
"-12","39.093858886229505","0.40000000000000013"
"-2","-67.16634582208245","1.0"
"-5","-39.472459848343824","1.0"
"73","-90.0","1.0"
"-22","-156.03751102542182","1.0"
"0","0","0"
"-10","127.8749836510982","1.0"
"-57","-72.25532837494306","0.5000000000000001"
"-75","-87.70938995736147","0.7000000000000001"
"-14","-81.46923439005188","1.0"
"-20","-105.25511870305778","1.0"
"-71","-112.24902365721238","0.6000000000000001"
"-8","-64.79887635452492","1.0"
"6","18.43494882292201","1.0"
"1","31.759480084812797","1.0"
"0","0","0"
"-61","168.6900675259798","0.30000000000000016"
"5","47.290610042638534","1.0"
"10","-11.309932474020213","1.0"
"-12","45.0","1.0"
"0","0","0"
"13","-176.98721249581666","1.0"
"-11","30.465544919459884","1.0"
"-18","-141.95295746817393","1.0"
"-23","14.036243467926477","1.0"
"-10","159.44395478041653","0.9"
"0","0","0"
"-55","-137.29061004263855","0.40000000000000013"
"0","0","0"
"-31","-45.0","1.0"
"0","-116.56505117707799","1.0"
"-28","64.98310652189998","1.0"
"17","-175.23635830927384","1.0"
"-74","63.43494882292201","0.5000000000000001"
"0","0","0"
"-10","-67.75097634278764","1.0"
"27","104.0362434679265","1.0"
"-6","-110.55604521958347","1.0"
"-19","-34.5085229876684","1.0"
"-79","73.07248693585295","0.8"
"17","30.06858282186245","1.0"
"11","24.443954780416536","1.0"
"-32","102.9946167919165","1.0"
"10","-56.309932474020215","1.0"
"-77","68.19859051364818","0.7000000000000001"
"-73","-161.56505117707798","0.20000000000000018"
"-16","100.30484646876603","1.0"
"-56","-94.96974072811031","0.5000000000000001"
"-5","-39.80557109226519","0.9"
"-18","-108.43494882292202","1.0"
"17","11.309932474020213","1.0"
"0","-117.47443162627712","1.0"
"4","145.00797980144134","0.7000000000000001"
"8","-42.70938995736147","1.0"
"-3","-131.0090869015702","0.8"
"-41","136.21887523513132","0.5000000000000001"
"12","26.56505117707799","0.40000000000000013"
"4","-25.346175941946694","0.5000000000000001"
"-55","-51.00900595749453","0.5000000000000001"
"-75","-78.23171106797936","0.7000000000000001"
"-17","-32.47119229084849","1.0"
"-18","46.636577041616725","0.5000000000000001"
"-10","136.27303002005672","1.0"
"-1","-59.03624346792648","1.0"
"0","-36.46923439005187","1.0"
"-13","97.76516601842535","1.0"
"0","0","0"
"-6","-137.48955292199918","0.6000000000000001"
"17","-164.05460409907712","0.7000000000000001"
"-5","-139.9697407281103","1.0"
"-33","-128.6598082540901","1.0"
"-37","143.13010235415598","1.0"
"0","0","0"
"38","158.19859051364818","1.0"
"-6","-30.256437163529263","0.40000000000000013"
"-20","90.0","1.0"
"1","-14.743562836470735","1.0"
"-16","-108.43494882292202","1.0"
"0","0","0"
"14","-19.179008025810724","0.9"
"-20","-137.72631099390628","1.0"
"-13","50.71059313749964","1.0"
"59","18.43494882292201","1.0"
"0","0","0"
"-24","-74.74488129694222","1.0"
"-4","64.3589941756947","1.0"
"9","-11.309932474020213","0.40000000000000013"
"-13","144.46232220802563","0.5000000000000001"
"-16","-128.0470425318261","1.0"
"-67","-115.20112364547508","0.5000000000000001"
"-8","-64.98310652189998","0.40000000000000013"
"-74","-116.56505117707799","0.7000000000000001"
"0","0","0"
"-2","31.42956561483852","0.7000000000000001"
"-16","-46.33221985386964","1.0"
"-3","99.09027692082232","1.0"
"-55","149.03624346792648","0.40000000000000013"
"0","0","0"
"19","-180.0","1.0"
"-3","-86.42366562500266","0.7000000000000001"
"5","-132.70938995736148","1.0"
"-6","135.0","1.0"
"-39","135.0","0.40000000000000013"
"13","75.96375653207353","1.0"
"-66","-110.55604521958347","0.30000000000000016"
"13","-162.25532837494308","1.0"
"0","0","0"
"1","-110.55604521958347","0.9"
"-19","72.47443162627714","1.0"
"1","-135.0","1.0"
"8","-176.82016988013578","1.0"
"-3","163.73979529168807","0.9"
"0","0","0"
"-20","-50.71059313749964","1.0"
"-7","17.650124219930124","0.7000000000000001"
"11","120.96375653207352","0.8"
"0","113.1985905136482","0.9"
"-47","-135.0","0.5000000000000001"
"-8","52.59464336859145","1.0"
"4","167.47119229084848","1.0"
"-17","-163.30075576600638","1.0"
"-8","45.0","1.0"
"0","0","0"
"-75","132.87890360333853","0.6000000000000001"
"-4","138.01278750418336","1.0"
"-22","-180.0","0.40000000000000013"
"0","0","0"
"-17","129.28940686250039","1.0"
"-17","-135.0","1.0"
"-3","153.43494882292202","1.0"
"-76","26.56505117707799","0.6000000000000001"
"1","35.53767779197438","1.0"
"-5","-67.38013505195957","1.0"
"-5","32.005383208083494","0.6000000000000001"
"-19","-60.52411099675425","1.0"
"-26","-86.82016988013577","1.0"
"13","90.0","1.0"
"0","0","0"
"9","-10.619655276155134","1.0"
"-1","-41.82016988013577","1.0"
"0","0","0"
"-13","28.810793742973058","1.0"
"-54","164.74488129694225","0.30000000000000016"
"0","-30.06858282186245","1.0"
"-25","-27.552811576717804","0.8"
"4","-138.81407483429035","1.0"
"-3","87.39743779750019","1.0"
"-20","59.03624346792648","0.40000000000000013"
"21","22.833654177917545","1.0"
"-21","-68.19859051364818","0.30000000000000016"
"0","0","0"
"-67","-156.80140948635182","0.30000000000000016"
"-9","-47.38594403038882","1.0"
"0","-32.005383208083494","0.6000000000000001"
"-20","128.99099404250546","1.0"
"2","107.35402463626133","1.0"
"-5","-111.80140948635182","0.5000000000000001"
"-70","171.86989764584402","0.6000000000000001"
"-14","19.653824058053306","1.0"
"19","168.23171106797935","1.0"
"-10","34.824489156956794","1.0"
"-72","-60.94539590092286","0.40000000000000013"
"3","126.86989764584402","1.0"
"-6","21.80140948635181","1.0"
"-11","-114.22774531795417","1.0"
"-17","-34.992020198558656","1.0"
"-70","112.24902365721238","0.6000000000000001"
"-6","-86.42366562500266","0.6000000000000001"
"-15","-51.84277341263093","1.0"
"-20","48.012787504183336","0.5000000000000001"
"-13","-147.72435568542238","1.0"
"21","21.80140948635181","0.9"
"-74","60.52411099675425","0.7000000000000001"
"-18","87.39743779750019","1.0"
"-63","122.0053832080835","0.30000000000000016"
"-15","63.43494882292201","1.0"
"-20","-26.56505117707799","1.0"
"9","162.25532837494308","1.0"
"-46","65.77225468204583","0.40000000000000013"
"-1","30.579226872489016","1.0"
"24","10.619655276155134","1.0"
"-45","125.21759296819272","0.40000000000000013"
"0","0","0"
"-61","82.23483398157467","0.5000000000000001"
"-59","61.38954033403479","0.5000000000000001"
"-6","22.380135051959574","1.0"
"28","170.5376777919744","1.0"
"-54","95.71059313749964","0.30000000000000016"
"-2","162.6459753637387","1.0"
"-4","33.690067525979785","0.6000000000000001"
"2","-130.2363583092738","1.0"
"-28","-156.03751102542182","0.7000000000000001"
"-54","-68.19859051364818","0.5000000000000001"
"-14","90.0","1.0"
"-14","-130.6012946450045","1.0"
"-16","-58.57043438516149","1.0"
"-74","-6.34019174590991","0.6000000000000001"
"-11","122.0053832080835","1.0"
"12","72.89727103094764","1.0"
"-36","63.43494882292201","1.0"
"20","-7.431407971172507","1.0"
"0","0","0"
"39","-180.0","1.0"
"-10","-130.03025927188972","1.0"
"-18","46.548157698977974","0.5000000000000001"
"0","0","0"
"-22","-135.0","1.0"
"7","-174.80557109226518","1.0"
"1","38.65980825409009","1.0"
"1","8.972626614896393","1.0"
"8","16.69924423399362","1.0"
"-17","104.62087398863166","1.0"
"-19","151.3895403340348","1.0"
"-15","-65.55604521958347","1.0"
"-16","123.69006752597979","1.0"
"-13","153.43494882292202","1.0"
"0","0","0"
"-8","135.0","1.0"
"-14","-147.99461679191648","1.0"
"10","-30.465544919459884","0.9"
"-2","122.0053832080835","0.7000000000000001"
"-19","78.69006752597979","1.0"
"0","0","0"
"8","159.44395478041653","1.0"
"-8","84.5596679689945","1.0"
"-15","-74.74488129694222","1.0"
"-48","124.21570213243739","0.5000000000000001"
